date,anchor - powdered milk_avg_retail_price,anchor - powdered milk_avg_wholesale_price,condensed milk - bluecross (1 carton)_avg_retail_price,condensed milk - bluecross (1 carton)_avg_wholesale_price,condensed milk - danish (1 carton)_avg_retail_price,condensed milk - danish (1 carton)_avg_wholesale_price,condensed milk - goalini (1 carton)_avg_retail_price,condensed milk - goalini (1 carton)_avg_wholesale_price,cow milk (liquid)_avg_retail_price,cow milk (liquid)_avg_wholesale_price,dano - powdered milk_avg_retail_price,dano - powdered milk_avg_wholesale_price,ghee (local)_avg_retail_price,ghee (local)_avg_wholesale_price,milk powder (bag)_avg_retail_price,milk powder (bag)_avg_wholesale_price,milkvita (liquid)_avg_retail_price,milkvita (liquid)_avg_wholesale_price,redcow - powdered milk_avg_retail_price,redcow - powdered milk_avg_wholesale_price
2013-01-01,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-02,,,55.5,,54.5,2519.0,55.5,2449.0,51.5,4833.0,1176.5,8618.0,750.0,,,,58.0,,1100.0,6360.0
2013-01-03,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-04,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-07,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-08,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-09,,,55.5,,54.5,2519.0,55.5,2449.0,51.5,4833.0,1179.5,9231.0,730.0,,,,58.0,,1100.0,6360.0
2013-01-10,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-11,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-14,,,,,,,,,61.0,,1160.0,6840.0,,,,,,,1100.0,6360.0
2013-01-15,,,,,,,,,61.0,,1165.0,6840.0,,,,,,,1105.0,6360.0
2013-01-16,,,55.5,,54.5,2502.0,55.5,2433.0,51.5,4500.0,1180.5,6852.0,735.0,,,,58.0,,1105.0,
2013-01-17,,,,,,,,,61.0,,1165.0,6840.0,,,,,,,1105.0,6420.0
2013-01-18,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,61.0,,1165.0,6840.0,,,,,,,1105.0,6420.0
2013-01-21,,,,,,,,,61.0,,1165.0,6840.0,,,,,,,1105.0,6420.0
2013-01-22,,,,,,,,,61.0,,1165.0,6840.0,,,,,,,1105.0,6420.0
2013-01-23,,,58.5,,55.5,2502.0,55.5,2439.0,50.5,4000.0,1159.0,6846.0,730.0,,,,59.0,,1105.0,6420.0
2013-01-24,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-01-25,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-01-28,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-01-29,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-01-30,,,58.5,,55.5,2502.0,55.5,2439.0,50.5,4400.0,1171.0,6876.0,730.0,,,,58.0,,1105.0,6480.0
2013-01-31,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-01,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-05,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-06,,,58.5,,55.5,2523.0,55.5,2478.0,50.5,4400.0,1171.0,6876.0,730.0,7500.0,,,59.0,,1105.0,6480.0
2013-02-07,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-08,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-11,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-12,,,,,,,,,,,,,,,,,,,,
2013-02-13,,,58.5,,55.5,2527.0,55.5,2478.0,51.5,4500.0,1174.0,6852.0,730.0,7500.0,,,59.0,,,
2013-02-14,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-15,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-19,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-20,,,58.5,,55.5,2520.0,56.0,2450.0,52.5,4250.0,1159.0,6876.0,750.0,,,,59.0,,1105.0,6480.0
2013-02-21,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-25,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-02-27,,,58.5,,55.5,2535.0,56.0,2450.0,50.5,4000.0,1159.0,6876.0,750.0,,,,59.0,,1105.0,6480.0
2013-02-28,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-03-01,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-03-04,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-03-05,,,,,,,,,,,,,,,,,,,,
2013-03-06,,,58.5,,55.5,2535.0,55.5,2507.0,54.0,4833.0,1181.0,6876.0,750.0,7500.0,,,59.0,,1135.0,6480.0
2013-03-07,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-03-08,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1105.0,6480.0
2013-03-13,,,58.5,,55.5,2537.0,55.5,2510.0,50.5,4275.0,1176.0,6876.0,750.0,7500.0,,,,,1140.0,6480.0
2013-03-14,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,,61.0,,1165.0,,,,,,,,1115.0,
2013-03-20,,,58.5,,55.5,2537.0,55.5,2495.0,52.0,4533.0,1176.0,6876.0,750.0,7500.0,,,,,1140.0,6480.0
2013-03-21,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,,,,,,,,,
2013-03-23,,,,,,,,,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,
2013-03-27,,,58.5,,55.5,2548.0,56.0,2476.0,48.0,4275.0,1181.5,6852.0,750.0,7500.0,,,,,1165.0,
2013-03-28,,,,,,,,,,,,,,,,,,,,
2013-03-29,,,,,,,,,,,,,,,,,,,,
2013-03-30,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,,,,,,,,,,,,,,,,,,
2013-04-03,,,58.5,,55.5,2537.0,55.5,2495.0,49.5,4275.0,1181.5,6852.0,750.0,7500.0,,,,,1165.0,
2013-04-04,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,,,,,,,,,,,,,
2013-04-06,,,,,,,,,,,,,,,,,,,,
2013-04-07,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1110.0,6540.0
2013-04-08,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1110.0,6540.0
2013-04-09,,,,,,,,,61.0,,1165.0,6900.0,,,,,,,1110.0,6540.0
2013-04-10,,,58.5,,55.5,2537.0,55.5,2495.0,52.0,4533.0,1176.0,6876.0,750.0,7500.0,,,,,1137.5,6540.0
2013-04-11,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,,,,,,,,,,,,,,,,,
2013-04-13,,,,,,,,,,,,,,,,,,,,
2013-04-14,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,,,,,,,,,,,,,,,,,,
2013-04-16,,,,,,,,,,,,,,,,,,,,
2013-04-17,,,58.5,,55.5,2537.0,55.5,2495.0,52.0,4400.0,1181.5,6852.0,750.0,7500.0,,,,,1165.0,
2013-04-18,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,,,,,,,,,,,,,,,,,,
2013-04-20,,,,,,,,,,,,,,,,,,,,
2013-04-21,,,,,,,,,61.0,,1165.0,7140.0,,,,,,,1110.0,7080.0
2013-04-22,,,,,,,,,61.0,,1165.0,7140.0,,,,,,,1110.0,7080.0
2013-04-23,,,,,,,,,61.0,,1165.0,,,,,,,,1110.0,
2013-04-24,,,58.5,,55.5,2537.0,55.5,2495.0,53.0,4400.0,1187.5,7020.0,750.0,7500.0,,,,,1137.5,6600.0
2013-04-25,,,,,,,,,61.0,,1165.0,7020.0,,,,,,,1110.0,7080.0
2013-04-26,,,,,,,,,,,,,,,,,,,,
2013-04-27,,,,,,,,,,,,,,,,,,,,
2013-04-28,,,,,,,,,61.0,,1165.0,7020.0,,,,,,,1110.0,7080.0
2013-04-29,,,,,,,,,61.0,,1165.0,7020.0,,,,,,,1110.0,7080.0
2013-04-30,,,,,,,,,61.0,,1165.0,7020.0,,,,,,,1110.0,7080.0
2013-05-01,,,56.5,,54.5,2522.0,54.5,2448.0,56.5,3200.0,1179.0,7020.0,,,,,,,,6600.0
2013-05-02,,,60.0,,57.5,2540.0,57.5,2530.0,56.0,5250.0,1180.0,7020.0,750.0,7500.0,,,,,1137.5,7080.0
2013-05-03,,,,,,,,,,,,,,,,,,,,
2013-05-04,,,,,,,,,,,,,,,,,,,,
2013-05-05,,,,,,,,,61.0,,1165.0,7020.0,,,,,,,1110.0,7080.0
2013-05-06,,,,,,,,,61.0,,1200.0,7080.0,,,,,,,1200.0,7080.0
2013-05-07,,,,,,,,,61.0,,1200.0,7080.0,,,,,,,1200.0,7080.0
2013-05-08,,,58.5,,55.5,2537.0,55.5,2495.0,53.0,4300.0,1215.0,7020.0,750.0,7500.0,,,,,1195.0,6600.0
2013-05-09,,,,,,,,,61.0,,1220.0,,,,,,,,1225.0,
2013-05-10,,,,,,,,,,,,,,,,,,,,
2013-05-11,,,,,,,,,,,,,,,,,,,,
2013-05-12,,,,,,,,,61.0,,1220.0,,,,,,,,1225.0,
2013-05-13,,,,,,,,,61.0,,1220.0,,,,,,,,1225.0,
2013-05-14,,,,,,,,,61.0,,1220.0,,,,,,,,1225.0,
2013-05-15,,,58.5,,55.5,2533.0,55.5,2500.0,54.5,4833.0,1222.5,,750.0,,485.0,,65.0,,1207.5,
2013-05-16,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,,,,,,,,,,,,,,,,,
2013-05-18,,,,,,,,,,,,,,,,,,,,
2013-05-19,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,,,,,,,,,,,,,,,,,
2013-05-21,,,,,,,,,61.0,,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-05-22,,,58.0,,55.0,2533.0,55.5,2500.0,57.0,5500.0,1236.5,7200.0,750.0,,485.0,,65.0,,1197.5,7080.0
2013-05-23,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,,,,,,,,,,,,,,,,,
2013-05-25,,,,,,,,,,,,,,,,,,,,
2013-05-26,,,,,,,,,61.0,,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-05-27,,,,,,,,,,,,,,,,,,,,
2013-05-28,,,,,,,,,,,,,,,,,,,,
2013-05-29,,,58.0,,55.5,2520.0,55.5,2550.0,54.5,5500.0,1237.5,,750.0,,,,,,1190.0,
2013-05-30,,,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,,,,,,,,
2013-06-02,,,,,,,,,61.0,,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-03,,,,,,,,,61.0,,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-04,,,,,,,,,61.0,,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-05,,,58.0,,55.5,2525.0,56.5,2483.0,55.0,5340.0,1215.5,7200.0,750.0,,595.0,,,,1197.5,7080.0
2013-06-06,,,,2520.0,52.5,,52.5,2500.0,57.0,5500.0,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-07,,,,,,,,,,,,,,,,,,,,
2013-06-08,,,,,,,,,,,,,,,,,,,,
2013-06-09,,,,,,,,,61.0,5500.0,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-10,,,,,,,,,61.0,5500.0,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-11,,,,,,,,,,5000.0,,,,,,,,,,
2013-06-12,,,58.0,,55.5,2525.0,55.5,2483.0,53.5,5125.0,1237.0,4250.0,750.0,,595.0,,,,1215.0,4165.0
2013-06-13,,,,,,,,,61.0,5000.0,1235.0,7200.0,,,,,,,1205.0,7080.0
2013-06-14,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,,,,,,,,,,,,,,,,
2013-06-16,,,,,,,,,61.0,4750.0,1235.0,7200.0,,,,,,,1205.0,7200.0
2013-06-17,,,,,,,,,,5000.0,,,,,,,,,,
2013-06-18,,,,,,,,,,5000.0,,,,,,,,,,
2013-06-19,,,58.0,,55.0,2525.0,55.0,2493.0,54.0,5167.0,1237.5,7800.0,750.0,,547.5,,65.0,,1220.0,7500.0
2013-06-20,,,,,,,,,,5000.0,,,,,,,,,,
2013-06-21,,,,,,,,,,,,,,,,,,,,
2013-06-22,,,,,,,,,,,,,,,,,,,,
2013-06-23,,,,,,,,,,5000.0,,,,,,,,,,
2013-06-24,,,,,,,,,61.0,5000.0,1215.0,7200.0,,,,,,,1205.0,7200.0
2013-06-25,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,58.0,,55.5,2525.0,55.5,2485.0,53.0,4800.0,1206.5,,690.0,,595.0,,,,1190.0,
2013-06-27,,,,,,,,,61.0,5000.0,1215.0,7200.0,,,,,,,1205.0,7200.0
2013-06-28,,,,,,,,,,,,,,,,,,,,
2013-06-29,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,,,,,61.0,5000.0,1215.0,7200.0,,,,,,,1205.0,7200.0
2013-07-01,,,,,,,,,61.0,5000.0,1215.0,7200.0,,,,,,,1205.0,7200.0
2013-07-02,,,,,,,,,61.0,5000.0,1215.0,7200.0,,,,,,,1205.0,7200.0
