date,oil cake - mustard_avg_retail_price,oil cake - mustard_avg_wholesale_price,oil cake - others_avg_retail_price,oil cake - others_avg_wholesale_price,oil cake - til (sesame)_avg_retail_price,oil cake - til (sesame)_avg_wholesale_price
2013-01-02,36.0,3334.0,37.0,3500.0,29.0,2800.0
2013-01-03,,,,,,
2013-01-04,,,,,,
2013-01-05,,,,,,
2013-01-06,,,,,,
2013-01-07,,,,,,
2013-01-08,,,,,,
2013-01-09,35.0,3243.0,37.0,3500.0,29.0,2800.0
2013-01-10,,,,,,
2013-01-11,,,,,,
2013-01-12,,,,,,
2013-01-13,,,,,,
2013-01-14,,,,,,
2013-01-15,,,,,,
2013-01-16,35.0,3199.0,37.0,3500.0,29.0,2800.0
2013-01-17,,,,,,
2013-01-18,,,,,,
2013-01-19,,,,,,
2013-01-20,,,,,,
2013-01-21,,,,,,
2013-01-22,,,,,,
2013-01-23,35.5,3206.0,37.0,3500.0,29.0,2800.0
2013-01-24,,,,,,
2013-01-25,,,,,,
2013-01-26,,,,,,
2013-01-27,,,,,,
2013-01-28,,,,,,
2013-01-29,,,,,,
2013-01-30,35.0,3236.0,37.0,3500.0,29.0,2800.0
2013-01-31,,,,,,
2013-02-01,,,,,,
2013-02-02,,,,,,
2013-02-03,,,,,,
2013-02-04,,,,,,
2013-02-05,,,,,,
2013-02-06,35.0,3172.0,37.0,3500.0,29.0,2800.0
2013-02-07,,,,,,
2013-02-08,,,,,,
2013-02-09,,,,,,
2013-02-10,,,,,,
2013-02-11,,,,,,
2013-02-12,,,,,,
2013-02-13,35.0,3138.0,37.0,3500.0,29.0,2800.0
2013-02-14,,,,,,
2013-02-15,,,,,,
2013-02-16,,,,,,
2013-02-17,,,,,,
2013-02-18,,,,,,
2013-02-19,,,,,,
2013-02-20,34.0,3093.0,37.0,3500.0,29.0,2800.0
2013-02-21,,,,,,
2013-02-22,,,,,,
2013-02-23,,,,,,
2013-02-24,,,,,,
2013-02-25,,,,,,
2013-02-26,,,,,,
2013-02-27,34.0,3036.0,37.0,3500.0,29.0,2800.0
2013-02-28,,,,,,
2013-03-01,,,,,,
2013-03-02,,,,,,
2013-03-03,,,,,,
2013-03-04,,,,,,
2013-03-05,,,,,,
2013-03-06,34.0,3119.0,35.0,3300.0,27.0,2700.0
2013-03-07,,,,,,
2013-03-08,,,,,,
2013-03-09,,,,,,
2013-03-10,,,,,,
2013-03-11,,,,,,
2013-03-12,,,,,,
2013-03-13,34.0,3083.0,35.0,3300.0,27.0,2700.0
2013-03-14,,,,,,
2013-03-15,,,,,,
2013-03-16,,,,,,
2013-03-17,,,,,,
2013-03-18,,,,,,
2013-03-19,,,,,,
2013-03-20,34.0,3119.0,35.0,3300.0,27.0,2700.0
2013-03-21,,,,,,
2013-03-22,,,,,,
2013-03-23,,,,,,
2013-03-24,,,,,,
2013-03-25,,,,,,
2013-03-26,,,,,,
2013-03-27,34.0,3081.0,35.0,3300.0,27.0,2700.0
2013-03-28,,,,,,
2013-03-29,,,,,,
2013-03-30,,,,,,
2013-03-31,,,,,,
2013-04-01,,,,,,
2013-04-02,,,,,,
2013-04-03,34.0,3072.0,35.0,3300.0,27.0,2700.0
2013-04-04,,,,,,
2013-04-05,,,,,,
2013-04-06,,,,,,
2013-04-07,,,,,,
2013-04-08,,,,,,
2013-04-09,,,,,,
2013-04-10,34.0,3106.0,35.0,3300.0,27.0,2700.0
2013-04-11,,,,,,
2013-04-12,,,,,,
2013-04-13,,,,,,
2013-04-14,,,,,,
2013-04-15,,,,,,
2013-04-16,,,,,,
2013-04-17,34.0,3050.0,35.0,3300.0,27.0,2700.0
2013-04-18,,,,,,
