date,butter oil_avg_retail_price,butter oil_avg_wholesale_price,coconut  oil (imported) - superior quality_avg_retail_price,coconut  oil (imported) - superior quality_avg_wholesale_price,coconut oil (imported) - ordinary_avg_retail_price,coconut oil (imported) - ordinary_avg_wholesale_price,coconut oil (local)_avg_retail_price,coconut oil (local)_avg_wholesale_price,ground nut oil_avg_retail_price,ground nut oil_avg_wholesale_price,mustard oil (imported)_avg_retail_price,mustard oil (imported)_avg_wholesale_price,mustard oil (local) - ordinary_avg_retail_price,mustard oil (local) - ordinary_avg_wholesale_price,mustard oil (local) - superior quality_avg_retail_price,mustard oil (local) - superior quality_avg_wholesale_price,palm oil_avg_retail_price,palm oil_avg_wholesale_price,sesame oil(till)_avg_retail_price,sesame oil(till)_avg_wholesale_price,soyabin oil (1 lit bottle)_avg_retail_price,soyabin oil (1 lit bottle)_avg_wholesale_price,soyabin oil (5 liter bottle)_avg_retail_price,soyabin oil (5 liter bottle)_avg_wholesale_price,soybean oil(loose)_avg_retail_price,soybean oil(loose)_avg_wholesale_price,sunflower_avg_retail_price,sunflower_avg_wholesale_price,vegetable ghee_avg_retail_price,vegetable ghee_avg_wholesale_price
2013-01-01,,,,,,,,,,,,,155.0,13078.0,,,81.5,7477.0,,,,,,,115.0,10518.0,,,,
2013-01-02,,,193.5,19588.0,176.5,14257.0,210.5,18706.0,,20000.0,,,144.0,13244.0,172.0,15898.0,84.5,7889.0,,,,,,,117.0,11219.0,,,111.0,10286.0
2013-01-03,,,,,,,,,,,,,150.0,13078.0,,,81.5,7278.0,,,,,,,116.0,10518.0,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,150.0,13078.0,,,81.0,7278.0,,,,,,,116.0,10518.0,,,,
2013-01-07,,,,,,,,,,,,,150.0,13078.0,,,80.0,7278.0,,,,,,,116.0,10518.0,,,,
2013-01-08,,,,,,,,,,,,,150.0,13078.0,,,79.0,7278.0,,,,,,,115.5,10518.0,,,,
2013-01-09,,,193.5,19588.0,157.5,14257.0,210.5,18706.0,,20000.0,,,143.5,13448.0,168.0,15558.0,83.5,7897.0,,,,,,,116.0,11122.0,,,111.5,10306.0
2013-01-10,,,,,,,,,,,,,150.0,13078.0,,,77.5,7602.0,,,,,,,115.5,10717.0,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,150.0,13078.0,,,77.5,7602.0,,,,,,,115.0,10717.0,,,,
2013-01-14,,,,,,,,,,,,,152.5,12950.0,,,84.0,8440.0,,,,,,,119.5,10900.0,,,,
2013-01-15,,,,,,,,,,,,,152.5,12950.0,,,84.0,8470.0,,,,,,,120.0,10900.0,,,,
2013-01-16,,,193.5,19608.0,157.5,14293.0,214.0,19445.0,,20000.0,,,145.5,13462.0,167.0,15406.0,83.5,7997.0,,,,,,,118.0,11385.0,,,109.5,10156.0
2013-01-17,,,,,,,,,,,,,152.5,12950.0,,,84.0,7970.0,,,,,,,121.5,11340.0,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,152.5,12950.0,,,84.0,7975.0,,,,,,,123.0,11340.0,,,,
2013-01-21,,,,,,,,,,,,,152.5,12950.0,,,84.0,7975.0,,,,,,,123.0,11340.0,,,,
2013-01-22,,,,,,,,,,,,,152.5,12950.0,,,84.0,7975.0,,,,,,,123.0,11315.0,,,,
2013-01-23,,,193.5,19385.0,157.5,14690.0,211.5,19740.0,,,,,145.5,13345.0,165.5,15208.0,81.5,7940.0,,,,,,,117.0,11350.0,,,111.5,10197.0
2013-01-24,,,,,,,,,,,,,152.5,12950.0,,,83.5,7730.0,,,,,,,123.0,10870.0,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,152.5,12950.0,,,82.5,7730.0,,,,,,,122.0,10960.0,,,,
2013-01-28,,,,,,,,,,,,,152.5,12960.0,,,82.5,7730.0,,,,,,,122.0,10960.0,,,,
