date,akher gur (red sugar)_avg_retail_price,akher gur (red sugar)_avg_wholesale_price,bull (3 years)_avg_retail_price,bull (3 years)_avg_wholesale_price,bull (60 kg meat)_avg_retail_price,bull (60 kg meat)_avg_wholesale_price,chitta gur (red sugar)_avg_retail_price,chitta gur (red sugar)_avg_wholesale_price,cow (2 litre milk)_avg_retail_price,cow (2 litre milk)_avg_wholesale_price,date gur (red sugar)_avg_retail_price,date gur (red sugar)_avg_wholesale_price,firewood - log(doom)_avg_retail_price,firewood - log(doom)_avg_wholesale_price,firewood - mango_avg_retail_price,firewood - mango_avg_wholesale_price,firewood - shal_gozari_avg_retail_price,firewood - shal_gozari_avg_wholesale_price,firewood - shimul_avg_retail_price,firewood - shimul_avg_wholesale_price,firewood - tamarind_wood apple_avg_retail_price,firewood - tamarind_wood apple_avg_wholesale_price,garlic (local) - big size_avg_retail_price,garlic (local) - big size_avg_wholesale_price,goat (female - 6 kg meat)_avg_retail_price,goat (female - 6 kg meat)_avg_wholesale_price,goat (male - 6 kg meat)_avg_retail_price,goat (male - 6 kg meat)_avg_wholesale_price,gold (gini)_avg_retail_price,gold (gini)_avg_wholesale_price,gold-tejab_avg_retail_price,gold-tejab_avg_wholesale_price,goor_avg_retail_price,goor_avg_wholesale_price,gram-husk_avg_retail_price,gram-husk_avg_wholesale_price,iodized salt (loose) - ordinary_avg_retail_price,iodized salt (loose) - ordinary_avg_wholesale_price,iodized salt (packed)_avg_retail_price,iodized salt (packed)_avg_wholesale_price,kharh (paddy straw)_avg_retail_price,kharh (paddy straw)_avg_wholesale_price,khesari-husk_avg_retail_price,khesari-husk_avg_wholesale_price,masur-husk_avg_retail_price,masur-husk_avg_wholesale_price,paddy-husk_avg_retail_price,paddy-husk_avg_wholesale_price,ram (6 kg meat)_sheep_avg_retail_price,ram (6 kg meat)_sheep_avg_wholesale_price,silver_avg_retail_price,silver_avg_wholesale_price,sugar (imported)_avg_retail_price,sugar (imported)_avg_wholesale_price,sugar (local)_avg_retail_price,sugar (local)_avg_wholesale_price,sugar (o.m.s._t.c.b.)_avg_retail_price,sugar (o.m.s._t.c.b.)_avg_wholesale_price,wheat-husk_avg_retail_price,wheat-husk_avg_wholesale_price
2013-01-01,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4530.0,,,,,,
2013-01-02,60.0,5686.0,32500.0,41500.0,29250.0,15000.0,33.0,,32500.0,27000.0,77.5,6633.0,,,6.0,490.0,14.5,,,,5.5,600.0,,,1950.0,1950.0,2350.0,1650.0,49741.0,55202.0,50020.0,57160.0,,,34.5,3200.0,14.5,1300.0,25.5,2850.0,7.0,513.0,35.5,3133.0,26.0,2430.0,9.5,698.0,1950.0,,1286.0,1409.0,48.5,4605.0,50.0,4718.0,49.5,4800.0,27.0,2519.0
2013-01-03,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4530.0,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4530.0,,,,,,
2013-01-07,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4530.0,,,,,,
2013-01-08,70.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4530.0,,,,,,
2013-01-09,59.5,5686.0,32500.0,41500.0,29250.0,15000.0,85.0,,32500.0,27000.0,71.0,6500.0,,,6.0,490.0,14.5,,,,5.5,600.0,,,1950.0,1950.0,2350.0,1650.0,49634.0,55178.0,50020.0,57160.0,,,35.0,3313.0,14.5,1295.0,26.0,22850.0,7.0,513.0,36.0,3208.0,26.0,2455.0,9.5,710.0,1950.0,,1275.5,1391.0,48.5,4604.0,49.5,4691.0,49.5,4800.0,27.0,2498.0
2013-01-10,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4520.0,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
