date,broiler chicken_avg_retail_price,broiler chicken_avg_wholesale_price,farm-raised duck - big_avg_retail_price,farm-raised duck - big_avg_wholesale_price,farm-raised hen_avg_retail_price,farm-raised hen_avg_wholesale_price,local duck - big (above 900 gm)_avg_retail_price,local duck - big (above 900 gm)_avg_wholesale_price,local duck - medium (700-850 gm)_avg_retail_price,local duck - medium (700-850 gm)_avg_wholesale_price,local duck - small (500-600 gm)_avg_retail_price,local duck - small (500-600 gm)_avg_wholesale_price,local hen - big (above 900 gm)_avg_retail_price,local hen - big (above 900 gm)_avg_wholesale_price,local hen - medium (700-850 gm)_avg_retail_price,local hen - medium (700-850 gm)_avg_wholesale_price,local hen - small (500-650 gm)_avg_retail_price,local hen - small (500-650 gm)_avg_wholesale_price,sonali chicken_avg_retail_price,sonali chicken_avg_wholesale_price
2013-01-01,,,,,150.0,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-02,,,,,137.0,12921.0,227.5,,,,,,263.0,24970.0,265.0,24886.0,256.5,24275.0,,
2013-01-03,,,,,152.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,155.0,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-07,,,,,155.0,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-08,,,,,155.0,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-09,,,,,139.5,13469.0,227.5,,,,,,260.0,24522.0,264.5,24814.0,256.5,24275.0,,
2013-01-10,,,,,155.0,15200.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,152.5,15200.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-14,,,,,147.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-15,,,,,147.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-16,,,,,141.0,13387.0,235.0,,,,,,262.0,24627.0,263.5,24600.0,255.5,24240.0,,
2013-01-17,,,,,147.5,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,150.0,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-21,,,,,147.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-22,,,,,147.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-23,,,,,139.0,13138.0,235.0,,,,,,258.0,24890.0,259.5,24656.0,249.5,24700.0,,
2013-01-24,,,,,145.0,14000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,150.0,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-28,,,,,150.0,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-29,,,,,150.0,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-01-30,,,200.0,,140.0,13193.0,235.0,,,,,,262.0,24900.0,265.0,24764.0,261.0,24630.0,,
2013-01-31,,,,,150.0,14800.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,155.0,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-05,,,,,152.5,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-06,,,200.0,,142.0,13338.0,235.0,3600.0,,,,,266.0,25764.0,271.5,23491.0,267.0,22860.0,,
2013-02-07,,,,,152.5,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,155.0,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-11,,,,,155.0,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,
2013-02-13,,,,,144.5,13467.0,275.0,3600.0,,,,,261.0,24989.0,270.5,22433.0,270.5,22678.0,,
2013-02-14,,,,,152.5,15000.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,150.0,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-19,,,,,152.5,14500.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-20,,,,,144.5,13683.0,275.0,,,,,,277.5,26244.0,281.0,26189.0,280.5,25838.0,,
2013-02-21,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,152.5,14200.0,,,,,,,380.0,34000.0,320.0,31000.0,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,155.0,15000.0,,,,,,,380.0,34000.0,330.0,31000.0,,,,
2013-02-27,,,,,146.0,13640.0,,,,,,,277.0,26211.0,282.0,26211.0,279.5,25738.0,,
2013-02-28,,,,,148.0,15000.0,300.0,,,,,,335.0,34000.0,310.0,31000.0,290.0,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,152.5,15000.0,,,,,,,380.0,34000.0,330.0,31000.0,,,,
2013-03-04,,,,,155.0,15000.0,,,,,,,380.0,34000.0,330.0,31000.0,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,
2013-03-06,,,,,144.0,13492.0,370.0,36000.0,,,,,280.0,27020.0,286.0,24270.0,281.5,23656.0,,
2013-03-07,,,,,152.5,14500.0,,,,,,,380.0,34000.0,330.0,31000.0,,,,
