date,black cumin (seed)(kalozira)_avg_retail_price,black cumin (seed)(kalozira)_avg_wholesale_price,black pepper(golmorich)_avg_retail_price,black pepper(golmorich)_avg_wholesale_price,cardamom - big_avg_retail_price,cardamom - big_avg_wholesale_price,cardamom - small_avg_retail_price,cardamom - small_avg_wholesale_price,cinnamon(daruchini)_avg_retail_price,cinnamon(daruchini)_avg_wholesale_price,clove(lobonga)_avg_retail_price,clove(lobonga)_avg_wholesale_price,coriander seed (new)_avg_retail_price,coriander seed (new)_avg_wholesale_price,coriander seed (old)_avg_retail_price,coriander seed (old)_avg_wholesale_price,cumin (seed)_avg_retail_price,cumin (seed)_avg_wholesale_price,dried chili (barisal_raypur_chandpur) - ordinary_avg_retail_price,dried chili (barisal_raypur_chandpur) - ordinary_avg_wholesale_price,dried chili (barisal_raypur_chandpur) - superior_avg_retail_price,dried chili (barisal_raypur_chandpur) - superior_avg_wholesale_price,dried chili (battakandi) - ordinary_avg_retail_price,dried chili (battakandi) - ordinary_avg_wholesale_price,dried chili (battakandi) - superior_avg_retail_price,dried chili (battakandi) - superior_avg_wholesale_price,dried chili (bogra_rangpur) - ordinary_avg_retail_price,dried chili (bogra_rangpur) - ordinary_avg_wholesale_price,dried chili (bogra_rangpur) - superior_avg_retail_price,dried chili (bogra_rangpur) - superior_avg_wholesale_price,dried chili (chittagong) - ordinary_avg_retail_price,dried chili (chittagong) - ordinary_avg_wholesale_price,dried chili (chittagong) - superior_avg_retail_price,dried chili (chittagong) - superior_avg_wholesale_price,dried chili (imported) - ordinary_avg_retail_price,dried chili (imported) - ordinary_avg_wholesale_price,dried chili (local) - ordinary_avg_retail_price,dried chili (local) - ordinary_avg_wholesale_price,dried chili (local) - superior_avg_retail_price,dried chili (local) - superior_avg_wholesale_price,dry chilli_avg_retail_price,dry chilli_avg_wholesale_price,fennel_aniseed_avg_retail_price,fennel_aniseed_avg_wholesale_price,fenugreek(methi)_avg_retail_price,fenugreek(methi)_avg_wholesale_price,garlic (imported)_avg_retail_price,garlic (imported)_avg_wholesale_price,garlic (local) - big size_avg_retail_price,garlic (local) - big size_avg_wholesale_price,garlic - one piece_avg_retail_price,garlic - one piece_avg_wholesale_price,ginger (imported)_avg_retail_price,ginger (imported)_avg_wholesale_price,ginger (local) - new_avg_retail_price,ginger (local) - new_avg_wholesale_price,ginger (local) - old_avg_retail_price,ginger (local) - old_avg_wholesale_price,green chili (local)_avg_retail_price,green chili (local)_avg_wholesale_price,green chili_avg_retail_price,green chili_avg_wholesale_price,khoayr (catechu) - ordinary_avg_retail_price,khoayr (catechu) - ordinary_avg_wholesale_price,khoayr (catechu) - superior quality_avg_retail_price,khoayr (catechu) - superior quality_avg_wholesale_price,onion (local)_avg_retail_price,onion (local)_avg_wholesale_price,onion (new)_avg_retail_price,onion (new)_avg_wholesale_price,onion-imported_avg_retail_price,onion-imported_avg_wholesale_price,turmeric (imported)_avg_retail_price,turmeric (imported)_avg_wholesale_price,turmeric (local) - long (ordinary)_avg_retail_price,turmeric (local) - long (ordinary)_avg_wholesale_price,turmeric (local) - long (superior)_avg_retail_price,turmeric (local) - long (superior)_avg_wholesale_price,turmeric (local) - round (ordinary)_avg_retail_price,turmeric (local) - round (ordinary)_avg_wholesale_price,turmeric (local) - round (superior)_avg_retail_price,turmeric (local) - round (superior)_avg_wholesale_price,zain_avg_retail_price,zain_avg_wholesale_price
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15800.0,135.0,10500.0,,,,,,,,,85.0,6800.0,42.5,3000.0,,,67.5,5400.0,65.0,4600.0,,,70.0,5500.0,,,,,,,42.0,2800.0,,,35.0,2600.0,110.0,8000.0,90.0,6000.0,,,,,,,,
2013-01-02,13.5,141.0,9.5,925.0,17.0,1658.0,16.0,1569.0,3.0,223.0,16.5,1685.0,,5600.0,62.5,5443.0,5.0,432.0,152.5,13567.0,160.0,14833.0,182.5,13333.0,175.0,10000.0,177.5,15000.0,165.0,,165.0,,,,170.5,16160.0,148.0,14214.0,175.0,16500.0,,,2.0,151.0,9.5,99.0,92.0,17733.0,40.0,3224.0,32.5,,73.0,6262.0,64.0,5375.0,68.0,5000.0,57.5,4822.0,,,3.5,290.0,5.5,416.0,34.5,3207.0,,,35.5,3113.0,110.0,7500.0,71.0,5871.0,83.5,7073.0,79.5,5133.0,90.5,6900.0,2.0,169.0
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,85.0,70000.0,42.5,2800.0,,,67.5,5800.0,75.0,5000.0,,,70.0,6000.0,,,,,,,38.5,2600.0,,,33.0,2700.0,110.0,7500.0,90.0,7500.0,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,85.0,70000.0,45.0,2800.0,,,67.5,5800.0,75.0,5000.0,,,70.0,6000.0,,,,,,,37.5,2500.0,,,33.0,2500.0,110.0,8000.0,90.0,7500.0,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,85.0,70000.0,45.0,2800.0,,,67.5,5800.0,75.0,5000.0,,,70.0,5800.0,,,,,,,37.5,2500.0,,,33.0,2600.0,110.0,8000.0,90.0,7500.0,,,,,,,,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,90.0,70000.0,47.5,2800.0,,,72.5,5800.0,85.0,5500.0,,,70.0,6000.0,,,,,,,33.0,2700.0,,,32.5,2900.0,110.0,8000.0,90.0,7500.0,,,,,,,,
2013-01-09,13.5,139.0,9.5,930.0,17.0,1675.0,16.0,1600.0,3.0,222.0,16.5,1675.0,,5400.0,62.5,5500.0,5.0,429.0,160.0,14480.0,160.0,14833.0,182.5,13333.0,175.0,10000.0,177.5,15333.0,165.0,,,,,,170.5,16160.0,149.0,13583.0,175.0,16500.0,,,2.0,151.0,9.5,97.0,92.5,7220.0,39.0,3209.0,32.5,,73.0,6183.0,69.0,5953.0,68.5,5000.0,64.5,5318.0,,,3.5,290.0,5.5,416.0,29.5,2770.0,,,33.0,3021.0,120.0,7600.0,73.5,6000.0,87.0,7109.0,79.5,5300.0,90.5,6900.0,2.0,169.0
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,90.0,7600.0,47.5,2800.0,,,72.5,6200.0,85.0,5500.0,,,75.0,5600.0,,,,,,,33.0,2600.0,,,33.0,3000.0,120.0,7600.0,90.0,7500.0,,,,,,,,
