date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-01-01,,,,10518.0,10518.0,100 Liters,5500.0,5500.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-02,1960.0,1960.0,Quintal,11219.0,11219.0,100 Liters,4822.0,4822.0,Quintal,4833.0,4833.0,100 Liters,870.0,870.0,100 pieces,2263.0,2263.0,Quintal
2013-01-03,,,,10518.0,10518.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-06,,,,10518.0,10518.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-07,,,,10518.0,10518.0,100 Liters,5800.0,5800.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-08,,,,10518.0,10518.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-09,2230.0,2230.0,Quintal,11122.0,11122.0,100 Liters,5318.0,5318.0,Quintal,4833.0,4833.0,100 Liters,1353.0,1353.0,100 pieces,2550.0,2550.0,Quintal
2013-01-10,,,,10717.0,10717.0,100 Liters,5600.0,5600.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-13,,,,10717.0,10717.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-14,,,,10900.0,10900.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-15,,,,10900.0,10900.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-16,2420.0,2420.0,Quintal,11385.0,11385.0,100 Liters,6016.0,6016.0,Quintal,4500.0,4500.0,100 Liters,872.0,872.0,100 pieces,,,
2013-01-17,,,,11340.0,11340.0,100 Liters,6500.0,6500.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-20,,,,11340.0,11340.0,100 Liters,6500.0,6500.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-21,,,,11340.0,11340.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-22,,,,11315.0,11315.0,100 Liters,5800.0,5800.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-23,2420.0,2420.0,Quintal,11350.0,11350.0,100 Liters,6344.0,6344.0,Quintal,4000.0,4000.0,100 Liters,866.0,866.0,100 pieces,,,
2013-01-24,,,,10870.0,10870.0,100 Liters,5600.0,5600.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-27,,,,10960.0,10960.0,100 Liters,5000.0,5000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-28,,,,10960.0,10960.0,100 Liters,6000.0,6000.0,Quintal,,,,880.0,880.0,100 pieces,,,
2013-01-29,,,,10960.0,10960.0,100 Liters,5500.0,5500.0,Quintal,,,,860.0,860.0,100 pieces,,,
2013-01-30,2550.0,2550.0,Quintal,11369.0,11369.0,100 Liters,6461.0,6461.0,Quintal,4400.0,4400.0,100 Liters,863.0,863.0,100 pieces,1500.0,1500.0,Quintal
2013-01-31,,,,11090.0,11090.0,100 Liters,6000.0,6000.0,Quintal,,,,860.0,860.0,100 pieces,,,
2013-02-04,,,,11090.0,11090.0,100 Liters,5600.0,5600.0,Quintal,,,,860.0,860.0,100 pieces,,,
2013-02-05,,,,11090.0,11090.0,100 Liters,5200.0,5200.0,Quintal,,,,860.0,860.0,100 pieces,,,
2013-02-06,2600.0,2600.0,Quintal,11343.0,11343.0,100 Liters,6644.0,6644.0,Quintal,4400.0,4400.0,100 Liters,848.0,848.0,100 pieces,1500.0,1500.0,Quintal
2013-02-07,,,,10700.0,10700.0,100 Liters,5500.0,5500.0,Quintal,,,,860.0,860.0,100 pieces,,,
2013-02-10,,,,10800.0,10800.0,100 Liters,6000.0,6000.0,Quintal,,,,860.0,860.0,100 pieces,,,
